,attack_results_SME_attack_type,attack_results_SME_maliciousness,attack_results_SME_attack_strength,attack_results_SME_potential_impact,attack_results_SME_cvss_base_score,attack_results_SMB_attack_type,attack_results_SMB_maliciousness,attack_results_SMB_attack_strength,attack_results_SMB_potential_impact,attack_results_SMB_cvss_base_score,total_workload,impact_availability,impact_confidentiality,impact_integrity
27,SQL Injection,0.567125979,0.850688969,Medium,7,SQL Injection,0.567125979,0.850688969,Medium,7,0.850688969,0.730688969,2.8,2.8
28,SQL Injection,0.382175111,0.573262667,Low,0,SQL Injection,0.382175111,0.573262667,Low,0,2.148262667,0.8,0,0
29,SQL Injection,0.393014416,0.589521624,Low,0,SQL Injection,0.393014416,0.589521624,Low,0,0.589521624,0.469521624,0,0
30,DDoS,0.553534315,0.830301473,Low,0,DDoS,0.553534315,0.830301473,Low,0,1.919838514,0.8,0,0
31,DDoS,0.037170215,0.055755323,Low,0,DDoS,0.037170215,0.055755323,Low,0,0.055755323,0,0,0
32,SQL Injection,0.892567943,1.338851914,Low,0,SQL Injection,0.892567943,1.338851914,Low,0,1.338851914,1.218851914,0,0
33,DDoS,0.472482876,0.708724314,Low,0,DDoS,0.472482876,0.708724314,Low,0,0.708724314,0.560375341,0,0
34,DDoS,0.429617653,0.64442648,High,7,DDoS,0.429617653,0.64442648,High,7,0.64442648,0.8,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,SQL Injection,0.911127005,1.366690508,Medium,7,SQL Injection,0.911127005,1.366690508,Medium,7,1.366690508,1.246690508,2.8,2.8
37,SQL Injection,0.619824678,0.929737018,High,9,SQL Injection,0.619824678,0.929737018,High,9,0.929737018,0.809737018,7.2,7.2
38,SQL Injection,0.481373965,0.722060948,Medium,7,SQL Injection,0.481373965,0.722060948,Medium,7,0.722060948,0.602060948,2.8,2.8
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,SQL Injection,0.547421229,0.821131844,High,9,SQL Injection,0.547421229,0.821131844,High,9,0.821131844,0.701131844,7.2,7.2
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,SQL Injection,0.416395716,0.624593574,High,9,SQL Injection,0.416395716,0.624593574,High,9,0.624593574,0.504593574,7.2,7.2
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,DDoS,0.233004904,0.349507355,Low,0,DDoS,0.233004904,0.349507355,Low,0,0.349507355,0.215527061,0,0
46,SQL Injection,0.686990838,1.030486257,Medium,7,SQL Injection,0.686990838,1.030486257,Medium,7,1.030486257,0.910486257,2.8,2.8
47,SQL Injection,0.831336267,1.247004401,High,9,SQL Injection,0.831336267,1.247004401,High,9,1.247004401,1.127004401,7.2,7.2
48,DDoS,0.869339189,1.304008784,Low,0,DDoS,0.869339189,1.304008784,Low,0,1.304008784,1.131848432,0,0
49,SQL Injection,0.14979675,0.224695124,Low,0,SQL Injection,0.14979675,0.224695124,Low,0,0.224695124,0.104695124,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,DDoS,0.224237538,0.336356307,Medium,0,DDoS,0.224237538,0.336356307,Medium,0,0.336356307,0.202902054,0,0
52,SQL Injection,0.645409346,0.968114019,Medium,7,SQL Injection,0.645409346,0.968114019,Medium,7,0.968114019,0.848114019,2.8,2.8
53,DDoS,0.821411397,1.232117095,Medium,0,DDoS,0.821411397,1.232117095,Medium,0,1.232117095,1.062832412,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,SQL Injection,0.114967936,0.172451903,High,9,SQL Injection,0.114967936,0.172451903,High,9,0.172451903,0.052451903,7.2,7.2
56,DDoS,0.478000647,0.717000971,Low,0,DDoS,0.478000647,0.717000971,Low,0,0.717000971,0.568320932,0,0
57,DDoS,0.296348187,0.444522281,Medium,0,DDoS,0.296348187,0.444522281,Medium,0,0.444522281,0.30674139,0,0
58,SQL Injection,0.658991955,0.988487932,Low,0,SQL Injection,0.658991955,0.988487932,Low,0,0.988487932,0.868487932,0,0
59,DDoS,0.75,1.125,Low,0,DDoS,0.75,1.125,Low,0,2.487985456,2.268466038,0,0
60,SQL Injection,0.559214789,0.838822184,Medium,7,SQL Injection,0.559214789,0.838822184,Medium,7,0.838822184,0.718822184,2.8,2.8
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,DDoS,0.214293143,0.321439715,Medium,0,DDoS,0.214293143,0.321439715,Medium,0,1.330027308,1.156826216,0,0
63,SQL Injection,0.75,1.125,Low,0,SQL Injection,0.75,1.125,Low,0,1.125,1.005,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,DDoS,0.75,1.125,High,7,DDoS,0.75,1.125,High,7,1.125,0.8,0,0
68,DDoS,0.796373212,1.194559818,Medium,0,DDoS,0.796373212,1.194559818,Medium,0,1.194559818,1.026777425,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,DDoS,0.8281032,1.2421548,Low,0,DDoS,0.8281032,1.2421548,Low,0,1.2421548,1.072468608,0,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,DDoS,0.907505672,1.361258508,Low,0,DDoS,0.907505672,1.361258508,Low,0,1.361258508,1.186808167,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,SQL Injection,0.581458496,0.872187743,Low,0,SQL Injection,0.581458496,0.872187743,Low,0,0.872187743,0.752187743,0,0
75,SQL Injection,0.406465813,0.60969872,Low,0,SQL Injection,0.406465813,0.60969872,Low,0,0.60969872,0.48969872,0,0
76,DDoS,0.809905904,1.214858856,Medium,0,DDoS,0.809905904,1.214858856,Medium,0,1.214858856,1.046264502,0,0
